,industry,mean,std
0,Aerospace,0.58,0.5939696961966999
1,Construction,0.29500000000000004,0.2716001963671357
2,Consumer,0.16320754716981134,0.23792996371674696
3,Crypto,0.268135593220339,0.27847784890717897
4,Data,0.15290322580645163,0.20568898120523452
5,Education,0.24372549019607842,0.3390513871631481
6,Energy,0.14285714285714285,0.15391710817994272
7,Finance,0.17856643356643356,0.22785946865756818
8,Fitness,0.16166666666666665,0.15402675879288774
9,Food,0.23992857142857146,0.3328755837310788
10,HR,0.17500000000000002,0.27070894579480254
11,Hardware,0.011428571428571429,0.030237157840738178
12,Healthcare,0.22134615384615383,0.2783587741917425
13,Infrastructure,0.19944444444444445,0.3057194450553764
14,Legal,0.27999999999999997,0.3770941526992961
15,Logistics,0.20578947368421052,0.29343399389288527
16,Marketing,0.14425,0.20606652085418725
17,Media,0.18714285714285714,0.2486264789808603
18,Other,0.20455882352941177,0.2851626078328959
19,Product,0.23117647058823532,0.23005114520854858
20,Real Estate,0.2586538461538462,0.3330902771472249
21,Recruiting,0.256,0.1530686120666154
22,Retail,0.16896551724137931,0.2311348870387492
23,Sales,0.05842105263157895,0.0690622229824298
24,Security,0.12692307692307692,0.13928678945470452
25,Support,0.10176470588235294,0.23971950520654464
26,Transportation,0.1688888888888889,0.20698798312277142
27,Travel,0.26375,0.33109935927797524
