,company,industry,sum,std
0,Aura Financial,Finance,1.0,
1,Better.com,Real Estate,0.09,
2,BitTitan,Data,0.27,
3,Bounce,Transportation,0.4,
4,Bytedance,Consumer,0.0,0.0
5,Casper,Retail,0.0,
6,Clumio,Data,0.0,
7,DJI,Consumer,0.0,
8,Delivery Hero,Food,0.0,
9,Dropbox,Other,0.15,
10,Flockjay,Education,0.5,
11,Genius,Consumer,0.0,
12,Hubba,Retail,1.0,
13,HuffPo,Media,0.0,
14,Imperfect Foods,Food,0.0,
15,InVision,Product,0.0,
16,Indigo,Other,0.0,
17,Instacart,Food,0.0,
18,Katerra,Construction,1.0,
19,Lambda School,Education,0.0,
20,Limelight,Recruiting,1.0,
21,Madefire,Media,1.0,
22,Medium,Media,0.0,
23,New Relic,Infrastructure,0.07,
24,Ninjacart,Food,0.0,
25,Ozy Media,Media,1.0,
26,Pagarbook,HR,0.0,
27,Patreon,Media,0.0,
28,Pocketmath,Marketing,1.0,
29,Postmates,Food,0.15,
30,Privitar,Data,0.0,
31,Quandoo,Food,0.2,
32,Shutterfly,Retail,0.0,
33,Simple,Finance,1.0,
34,Subspace,Infrastructure,0.0,
35,SumUp,Finance,0.0,
36,Tanium,Security,0.0,
37,ThredUp,Retail,0.0,
38,Treehouse,Education,0.9,
39,WhiteHat Jr,Education,0.0,
40,Zillow,Real Estate,0.25,
41,Zymergen,Other,0.0,
42,iFit,Fitness,0.0,
