,company,industry,sum,std
0,1stdibs,Retail,0.17,
1,Acko,Finance,0.09,
2,Acorns,Finance,0.0,
3,Actifio,Data,0.0,
4,AdRoll,Marketing,0.3,
5,Ada Support,Support,0.23,
6,Adara,Travel,0.0,
7,Agoda,Travel,0.25,
8,Air,Marketing,0.16,
9,AirMap,Aerospace,0.0,
10,Airbnb,Travel,0.25,
11,Airy Rooms,Travel,1.7000000000000002,0.21213203435596426
12,Akerna,Logistics,0.0,
13,Akulaku,Finance,0.0,
14,Alegion,Data,0.0,
15,AllyO,HR,0.0,
16,Alto Pharmacy,Healthcare,0.06,
17,Amplero,Marketing,1.0,
18,Anagram,Healthcare,0.0,
19,Andela,Recruiting,0.1,
20,AngelList,Recruiting,0.0,
21,Anyvision,Security,0.0,
22,App Annie,Data,0.18,
23,Aqua Security,Security,0.09,
24,Argo AI,Transportation,0.0,
25,Arrive Logistics,Logistics,0.07,
26,AskNicely,Support,0.0,
27,Astra,Aerospace,0.25,
28,Atlanta Tech Village,Real Estate,0.5,
29,Atlas Obscura ,Media,0.0,
30,Atsu,Infrastructure,1.0,
31,Aura Financial,Finance,0.0,
32,Automatic,Transportation,1.0,
33,Automation Anywhere,Other,0.1,
34,Avantage Entertainment,Media,0.2,
35,Away,Retail,0.1,
36,Awok,Retail,1.0,
37,Aya,Finance,0.25,
38,B8ta,Retail,0.5,
39,BVAccel,Marketing,0.25,
40,Bcredi,Finance,0.0,
41,BeeTech,Finance,0.0,
42,Bench,Finance,0.1,
43,BetterCloud,Security,0.0,
44,Bevi,Food,0.2,
45,Big Fish Games,Media,0.0,
46,Bird,Transportation,0.3,
47,BitGo,Crypto,0.12,
48,Bitfarms,Crypto,0.0,
49,Bizongo,Logistics,0.0,
50,BlackBuck,Logistics,0.0,
51,Bleacher Report,Media,0.0,
52,Blueground,Real Estate,0.25,
53,Blume Global,Logistics,0.1,
54,Bluprint,Education,1.0,
55,BookMyShow,Consumer,0.18,
56,Booking.com,Travel,0.25,
57,Booksy,Consumer,0.0,
58,Borrowell,Finance,0.2,
59,Bossa Nova,Retail,0.5,0.3535533905932738
60,Bounce,Transportation,0.22,0.15556349186104046
61,BounceX,Marketing,0.2,
62,Branch,Retail,0.27,
63,Branch Metrics,Marketing,0.2,
64,Breather,Real Estate,0.8,
65,Brex,Finance,0.15,
66,Bridge Connector,Healthcare,1.0,
67,Bringg,Logistics,0.1,
68,Builder,Product,0.14,
69,Built In,Recruiting,0.0,
70,Bullhorn,Sales,0.0,
71,BusBud,Transportation,0.32,
72,Bustle Digital Group,Media,0.08,0.0565685424949238
73,Button,Marketing,0.35,
74,Buy.com / Rakuten,Retail,1.0,
75,Byton,Transportation,0.0,
76,C6 Bank,Finance,0.06,
77,CTO.ai,Infrastructure,0.5,
78,Cabin,Travel,0.2,
79,Cadre,Real Estate,0.25,
80,Caliva,Retail,0.0,
81,Capillary,Retail,0.0,
82,CarDekho,Transportation,0.0,
83,CarGurus,Transportation,0.13,
84,Care.com,Consumer,0.0,
85,Careem,Transportation,0.31,
86,Carta,Finance,0.16,
87,Casper,Retail,0.21,
88,Castlight Health,Healthcare,0.13,
89,Catalant,Other,0.0,
90,Checkmarx,Security,0.0,
91,Checkr,HR,0.12,
92,Cheddar,Media,0.0,
93,Cheetah,Food,0.0,
94,Chef,Infrastructure,0.0,
95,CipherTrace,Crypto,0.0,
96,Circ,Transportation,0.0,
97,Claravine,Marketing,0.0,
98,ClassPass,Fitness,0.22,
99,Clearbanc,Finance,0.08,
100,Clearbit,Data,0.0,
101,Clever Real Estate,Real Estate,0.0,
102,CleverTap,Marketing,0.2,
103,Clinc,Support,0.32,
104,Cloudera,Infrastructure,0.0,
105,Clutter,Consumer,0.3,
106,Code42,Data,0.05,
107,CodeCombat,Education,0.0,
108,Coding Dojo,Education,0.07,
109,Cogito,Support,0.14,
110,Cohesity,Data,0.0,
111,Compass,Real Estate,0.15,
112,Conga,Data,0.11,
113,Connected,Product,0.1,
114,ConsenSys,Crypto,0.14,
115,Consider.co,Other,1.0,
116,ContaAzul,Education,0.35,
117,Convene,Real Estate,0.18,
118,Convoy,Logistics,0.01,
119,Copper,Marketing,0.0,
120,Crayon,Marketing,0.2,
121,Credit Sesame,Finance,0.14,
122,Creditas,Finance,0.06,
123,CrowdRiff,Marketing,0.0,
124,CrowdStreet,Real Estate,0.22,
125,Cruise,Transportation,0.08,
126,Culture Amp,HR,0.08,
127,Culture Trip,Media,0.32,
128,CureFit,Fitness,0.16,
129,Curefit,Fitness,0.0,
130,Currency,Finance,0.0,
131,Cuyana,Retail,0.0,
132,Cvent,Marketing,0.1,
133,D2iQ,Infrastructure,0.13,
134,DISCO,Legal,0.0,
135,DJI,Consumer,0.0,
