,company,industry,sum,std
180,Chargebee,Finance,468.0,
181,Checkmarx,Security,92.0,
182,Checkout.com,Finance,1800.0,
183,Chessable,Consumer,0.0,
184,Chili Piper,Sales,54.0,
185,Chime,Finance,2300.0,
186,Chipax,Finance,2.0,
187,Chipper Cash,Finance,302.0,
188,Chope,Food,50.0,
189,ChowNow,Food,128.0,0.0
190,Chrono24,Retail,205.0,
191,CircleCI,Product,315.0,
192,CircleUp,Finance,53.0,
193,Circulo Health,Healthcare,50.0,
194,Cisco,Infrastructure,2.0,
195,CityMall,Retail,112.0,
196,Clari,Sales,496.0,
197,Clarify Health,Healthcare,328.0,
198,Classkick,Education,1.0,
199,Clear,Finance,140.0,
200,Clear Capital,Real Estate,0.0,
201,Clearco,Finance,2043.0,0.0
202,Clever Real Estate,Real Estate,13.0,
203,ClickUp,Other,537.0,
204,CloudFactory,Data,78.0,
205,CloudKitchens,Real Estate,1300.0,
206,Cloudinary,Media,100.0,
207,Clubhouse,Consumer,110.0,
208,Clutch,Transportation,153.0,
209,Clyde,Marketing,58.0,
210,Code42,Security,137.0,
211,Codexis,Healthcare,162.0,
212,Cognyte,Security,0.0,
213,CoinFLEX,Crypto,11.0,
214,CoinJar,Crypto,1.0,
215,Coinbase,Crypto,1098.0,0.0
216,Coinsquare,Crypto,98.0,
217,Collage.com,Retail,0.0,
218,Collibra,Data,596.0,
219,Colossus,Energy,41.0,
220,CommentSold,Retail,0.0,
221,CommonBond,Finance,255.0,3.5355339059327378
222,Community,Marketing,40.0,
223,Compass,Real Estate,3200.0,0.0
224,Compete,HR,17.0,
225,ContraFect,Healthcare,380.0,
226,Convene,Real Estate,281.0,
227,Convoy,Logistics,2200.0,0.0
228,Core Scientific,Crypto,169.0,
229,Cosuno,Construction,45.0,
230,Coterie Insurance,Finance,70.0,
231,Coursera,Education,458.0,
232,Crehana,Education,93.0,
233,Crejo.Fun,Education,3.0,
234,Crypto.com,Crypto,468.0,0.0
235,Cue,Healthcare,999.0,
236,Curative,Healthcare,8.0,
237,Curology,Healthcare,19.0,
238,Curve,Finance,182.0,
239,CyCognito,Security,153.0,
240,CyberCube,Finance,35.0,
241,Cybereason,Security,1500.0,0.0
242,D2L,Education,168.0,
243,Daily Harvest,Food,240.0,0.0
244,DailyPay,Finance,814.0,
245,Daloopa,Data,23.0,
246,Dance,Transportation,63.0,
247,Daniel Wellington,Retail,0.0,
248,Dapper Labs,Crypto,607.0,
249,DataRails,Finance,103.0,
250,DataRobot,Data,3000.0,0.0
251,DayTwo,Healthcare,90.0,
252,Dazn,Consumer,0.0,
253,DeHaat,Food,194.0,
254,Deep Instinct,Security,259.0,
255,Defined.ai,Data,78.0,
256,Degreed,Education,411.0,
257,Deliveroo Australia,Food,1700.0,
258,Delivery Hero,Food,8300.0,
259,Demandbase,Sales,143.0,
260,Desktop Metal,Other,811.0,
261,Detectify,Security,42.0,
262,Devo,Security,481.0,
263,Digital Currency Gruop,Crypto,0.0,
264,Digital Surge,Crypto,0.0,
265,Divvy Homes,Real Estate,180.0,
266,Dock,Finance,280.0,
267,DocuSign,Sales,536.0,
268,Doma,Finance,2037.0,0.0
269,Domestika,Education,130.0,
270,Domino Data Lab,Data,223.0,
271,Dooly,Sales,102.0,
272,DoorDash,Food,2500.0,
273,Doubtnut,Education,49.0,
274,Dover,Recruiting,22.0,
275,DreamBox Learning,Education,175.0,
276,Drop,Marketing,56.0,
277,Dukaan,Retail,17.0,
278,Dutchie,Other,603.0,
279,Eaze,Consumer,202.0,
280,Ebanx,Finance,460.0,
281,Edgio,Infrastructure,462.0,
282,Edmodo,Education,77.0,
283,Elastic,Data,162.0,
284,Electric,Other,212.0,
285,Element,Other,96.0,
286,Elementor,Media,65.0,
287,Elemy,Healthcare,646.0,0.0
288,Elinvar,Finance,30.0,
289,Embroker,Finance,142.0,
290,Emitwise,Energy,16.0,
291,Emotive,Marketing,78.0,
292,Enjoy,Retail,310.0,
293,Envato,Marketing,0.0,
294,EquityZen,Finance,11.0,
295,Equitybee,Finance,85.0,
296,Eruditus,Education,1200.0,
297,Esme Learning,Education,37.0,
298,Esper,Other,10.0,
299,Etermax,Other,0.0,
300,Ethos Life,Finance,406.0,
301,Eucalyptus,Healthcare,69.0,
302,EverBridge,Other,476.0,
303,Exodus,Crypto,60.0,
304,Expert360,Recruiting,26.0,
305,ExtraHop,Security,61.0,
306,Ezoic,Infrastructure,39.0,
307,F5,Security,0.0,
308,Fabric,Logistics,336.0,
309,Facily,Retail,502.0,
310,Faire,Retail,1700.0,
311,FarEye,Logistics,150.0,
312,Fast,Finance,124.0,
313,Favo,Food,31.0,
314,Faze Medicines,Healthcare,81.0,
315,Feather,Retail,76.0,
316,Fifth Season,Food,35.0,
317,Filevine,Legal,226.0,
318,Finite State,Security,49.0,
319,Finleap Connect,Finance,22.0,
320,FireHydrant,Infrastructure,32.0,
321,Firebolt,Data,264.0,
322,Firework,Retail,269.0,
323,First AML,Finance,29.0,
324,Fiverr,Other,111.0,
