,Company,Industry,sum,std
175,Cazoo,Transportation,0.3,0.0
176,Cedar,Healthcare,0.24,
177,Celsius,Crypto,0.25,
178,Cerebral,Healthcare,0.2,0.14142135623730953
179,Change Invest,Finance,0.24,
180,Change.org,Other,0.19,
181,Chargebee,Finance,0.1,
182,Checkmarx,Security,0.1,
183,Checkout.com,Finance,0.05,
184,Chessable,Consumer,0.0,
185,Chili Piper,Sales,0.0,
186,Chime,Finance,0.12,
187,Chipax,Finance,0.0,
188,Chipper Cash,Finance,0.125,
189,Chope,Food,0.24,
190,ChowNow,Food,0.30000000000000004,0.07071067811865475
191,Chrono24,Retail,0.0,
192,CircleCI,Product,0.17,
193,CircleUp,Finance,0.0,
194,Circulo Health,Healthcare,0.5,
195,Cisco,Infrastructure,0.05,
196,CityMall,Retail,0.3,
197,Clari,Sales,0.0,
198,Clarify Health,Healthcare,0.05,
199,Classkick,Education,0.0,
200,Clear,Finance,0.2,
201,Clear Capital,Real Estate,0.27,
202,Clearco,Finance,0.25,0.14433756729740646
203,Clever Real Estate,Real Estate,0.0,
204,ClickUp,Other,0.07,
205,CloudFactory,Data,0.12,
206,CloudKitchens,Real Estate,0.0,
207,Cloudinary,Media,0.08,
208,Clubhouse,Consumer,0.0,
209,Clutch,Transportation,0.22,
210,Clyde,Marketing,0.0,
211,Code42,Security,0.15,
212,Codexis,Healthcare,0.18,
213,Cognyte,Security,0.05,
214,CoinFLEX,Crypto,0.0,
215,CoinJar,Crypto,0.2,
216,Coinbase,Crypto,0.18,0.12727922061357855
217,Coinsquare,Crypto,0.24,
218,Collage.com,Retail,1.0,
219,Collibra,Data,0.0,
220,Colossus,Energy,0.0,
221,CommentSold,Retail,0.0,
222,CommonBond,Finance,1.0,0.7071067811865476
223,Community,Marketing,0.3,
224,Compass,Real Estate,0.1,0.07071067811865477
225,Compete,HR,0.28,
226,ContraFect,Healthcare,0.37,
227,Convene,Real Estate,0.0,
228,Convoy,Logistics,0.07,0.04949747468305833
229,Core Scientific,Crypto,0.1,
230,Cosuno,Construction,0.0,
231,Coterie Insurance,Finance,0.2,
232,Coursera,Education,0.0,
233,Crehana,Education,0.0,
234,Crejo.Fun,Education,1.0,
235,Crypto.com,Crypto,0.35,0.16072751268321592
236,Cue,Healthcare,0.0,
237,Curative,Healthcare,0.0,
238,Curology,Healthcare,0.0,
239,Curve,Finance,0.1,
240,CyCognito,Security,0.15,
241,CyberCube,Finance,0.0,
242,Cybereason,Security,0.23,0.07778174593052024
243,D2L,Education,0.05,
244,Daily Harvest,Food,0.35,0.0353553390593274
245,DailyPay,Finance,0.15,
246,Daloopa,Data,0.0,
247,Dance,Transportation,0.16,
248,Daniel Wellington,Retail,0.15,
249,Dapper Labs,Crypto,0.22,
250,DataRails,Finance,0.18,
251,DataRobot,Data,0.33,0.13453624047073712
252,DayTwo,Healthcare,0.0,
253,Dazn,Consumer,0.02,
254,DeHaat,Food,0.0,
255,Deep Instinct,Security,0.1,
256,Defined.ai,Data,0.0,
257,Degreed,Education,0.15,
258,Deliveroo Australia,Food,1.0,
259,Delivery Hero,Food,0.0,
260,Demandbase,Sales,0.03,
261,Desktop Metal,Other,0.12,
262,Detectify,Security,0.0,
263,Devo,Security,0.15,
264,Digital Currency Gruop,Crypto,0.13,
265,Digital Surge,Crypto,1.0,
266,Divvy Homes,Real Estate,0.12,
267,Dock,Finance,0.12,
268,DocuSign,Sales,0.09,
269,Doma,Finance,0.68,0.1504437879519568
270,Domestika,Education,0.19,
271,Domino Data Lab,Data,0.25,
272,Dooly,Sales,0.0,
273,DoorDash,Food,0.06,
274,Doubtnut,Education,0.3,
275,Dover,Recruiting,0.3,
276,DreamBox Learning,Education,0.0,
277,Drop,Marketing,0.0,
278,Dukaan,Retail,0.0,
279,Dutchie,Other,0.07,
280,Eaze,Consumer,0.0,
281,Ebanx,Finance,0.2,
282,Edgio,Infrastructure,0.1,
283,Edmodo,Education,1.0,
284,Elastic,Data,0.13,
285,Electric,Other,0.0,
286,Element,Other,0.15,
287,Elementor,Media,0.15,
288,Elemy,Healthcare,0.0,0.0
289,Elinvar,Finance,0.33,
290,Embroker,Finance,0.12,
291,Emitwise,Energy,0.0,
292,Emotive,Marketing,0.18,
293,Enjoy,Retail,0.18,
294,Envato,Marketing,0.0,
295,EquityZen,Finance,0.27,
296,Equitybee,Finance,0.2,
297,Eruditus,Education,0.0,
298,Esme Learning,Education,0.0,
299,Esper,Other,0.12,
300,Etermax,Other,0.0,
301,Ethos Life,Finance,0.12,
302,Eucalyptus,Healthcare,0.2,
303,EverBridge,Other,0.0,
304,Exodus,Crypto,0.22,
305,Expert360,Recruiting,0.0,
306,ExtraHop,Security,0.0,
307,Ezoic,Infrastructure,0.0,
308,F5,Security,0.01,
309,Fabric,Logistics,0.4,
310,Facily,Retail,0.3,
311,Faire,Retail,0.07,
312,FarEye,Logistics,0.3,
313,Fast,Finance,1.0,
314,Favo,Food,0.0,
315,Faze Medicines,Healthcare,1.0,
316,Feather,Retail,0.0,
317,Fifth Season,Food,1.0,
318,Filevine,Legal,0.0,
319,Finite State,Security,0.2,
320,Finleap Connect,Finance,0.1,
321,FireHydrant,Infrastructure,0.0,
322,Firebolt,Data,0.0,
323,Firework,Retail,0.1,
324,First AML,Finance,0.0,
325,Fiverr,Other,0.08,
326,Fivetran,Data,0.05,
327,Flash Coffee,Food,0.0,
328,Flipboard,Media,0.21,
329,Flowhub,Retail,0.15,
330,Fluke,Other,0.8200000000000001,
331,Flux Systems,Finance,1.0,
332,Flyhomes,Real Estate,0.6000000000000001,0.14142135623730953
333,Food52,Food,0.25,0.03535533905932737
334,Foodpanda,Food,0.0,0.0
335,Foresight Insurance,Finance,0.4,
336,Forma.ai,Sales,0.09,
337,Forto,Logistics,0.08,
338,Forward,Healthcare,0.05,
339,FourKites,Logistics,0.08,
340,Foxtrot,Food,0.035,
341,Fraazo,Food,0.0,
342,Freetrade,Finance,0.15,
343,FreshBooks,Finance,0.0,
344,FreshDirect,Food,0.0,
345,Freshly,Food,0.25,0.1767766952966369
346,Freshworks,Support,0.02,
347,Front,Support,0.0,
348,FrontRow,Education,1.05,0.3181980515339464
349,Frubana,Food,0.03,
350,FuboTV,Media,0.0,
351,FullStory,Marketing,0.12,
352,Fundbox,Finance,0.42,
353,Fungible,Crypto,0.0,
354,Furlenco,Retail,0.0,
355,FutureLearn,Education,0.0,
356,GSR,Crypto,0.0,
357,Gather,Consumer,0.33,
358,Gatherly,Marketing,0.5,
359,Gavelytics,Legal,1.0,
360,Gem,Recruiting,0.33,
361,Gemini,Crypto,0.17,0.021213203435596427
362,Genesis,Crypto,0.2,
363,Genome Medical,Healthcare,0.0,
364,Getir,Food,0.14,
365,Getta,Transportation,0.0,
366,Give Legacy,Healthcare,0.0,
367,Glints,HR,0.18,
368,GloriFi,Finance,1.0,
369,Glossier,Consumer,0.33,
370,Glossier,Retail,0.08,
371,GoFundMe,Finance,0.12,
372,GoHealth,Healthcare,0.2,
373,GoNuts,Media,1.0,
374,GoStudent,Education,0.0,0.0
375,GoTo Group,Transportation,0.12,
376,Gokada,Transportation,0.0,
377,GoodGood,Retail,1.0,
378,GoodRx,Healthcare,0.16,
379,Goodfood,Food,0.0,
380,Gopuff,Food,0.13,0.04716990566028302
381,Gorillas,Food,0.5,0.3535533905932738
382,Gousto,Food,0.14,
383,Graphcore,Data,0.0,
384,Grin,Marketing,0.13,
385,Groupon,Retail,0.15,
386,Grove Collaborative,Retail,0.17,
387,Grover,Retail,0.1,
388,Guidewire,Finance,0.02,
389,Halcyon Health,Healthcare,1.0,
390,Happy Money,Finance,0.34,
