,industry,mean,std
0,Aerospace,794.0,1471.2672542177147
1,Construction,542.8333333333334,990.6465397237638
2,Consumer,278.51,528.1394332286072
3,Crypto,27.166666666666668,24.424714259672857
4,Data,193.90769230769232,215.66919839991417
5,Education,35.27142857142857,38.43656969748849
6,Energy,790.6666666666666,884.7792568394295
7,Finance,242.16815789473682,423.50440097425366
8,Fitness,206.3272727272727,180.18373450957827
9,Food,466.4156458333334,1039.2792786835969
10,HR,98.66818181818181,131.09031196764656
11,Healthcare,150.55,294.8933304023499
12,Infrastructure,189.96875,257.97793631432904
13,Legal,181.0,209.1721778822413
14,Logistics,177.08333333333334,217.23529695338243
15,Marketing,83.32745098039216,110.54400947754948
16,Media,126.26896551724138,331.2324983014717
17,Other,200.25,275.4952977655138
18,Product,71.6888888888889,128.65912758569098
19,Real Estate,2352.9166666666665,8536.714627200816
20,Recruiting,78.13636363636364,65.37969355238926
21,Retail,134.27962962962962,221.08944094635874
22,Sales,52.199999999999996,51.441358198761954
23,Security,64.16666666666667,50.329520224820406
24,Support,79.41818181818182,82.2340783152802
25,Transportation,3261.5350000000003,14872.505672734771
26,Travel,481.1595744680851,1789.1419084431623
