,company,industry,sum,std
0,1stdibs,Retail,253.0,
1,Acko,Finance,143.0,
2,Acorns,Finance,207.0,
3,Actifio,Data,352.0,
4,AdRoll,Marketing,89.0,
5,Ada Support,Support,60.0,
6,Adara,Travel,67.0,
7,Agoda,Travel,0.0,
8,Air,Marketing,18.0,
9,AirMap,Aerospace,75.0,
10,Airbnb,Travel,5400.0,
11,Airy Rooms,Travel,0.0,0.0
12,Akerna,Logistics,0.0,
13,Akulaku,Finance,160.0,
14,Alegion,Data,16.0,
15,AllyO,HR,64.0,
16,Alto Pharmacy,Healthcare,356.0,
17,Amplero,Marketing,25.0,
18,Anagram,Healthcare,14.0,
19,Andela,Recruiting,181.0,
20,AngelList,Recruiting,26.0,
21,Anyvision,Security,74.0,
22,App Annie,Data,156.0,
23,Aqua Security,Security,100.0,
24,Argo AI,Transportation,3600.0,
25,Arrive Logistics,Logistics,35.0,
26,AskNicely,Support,15.0,
27,Astra,Aerospace,100.0,
28,Atlanta Tech Village,Real Estate,0.0,
29,Atlas Obscura ,Media,32.0,
30,Atsu,Infrastructure,1.0,
31,Aura Financial,Finance,584.0,
32,Automatic,Transportation,24.0,
33,Automation Anywhere,Other,840.0,
34,Avantage Entertainment,Media,0.0,
35,Away,Retail,181.0,
36,Awok,Retail,30.0,
37,Aya,Finance,3.0,
38,B8ta,Retail,88.0,
39,BVAccel,Marketing,0.0,
40,Bcredi,Finance,0.0,
41,BeeTech,Finance,14.0,
42,Bench,Finance,49.0,
43,BetterCloud,Security,111.0,
44,Bevi,Food,60.0,
45,Big Fish Games,Media,95.2,
46,Bird,Transportation,623.0,
47,BitGo,Crypto,69.0,
48,Bitfarms,Crypto,25.0,
49,Bizongo,Logistics,70.0,
50,BlackBuck,Logistics,293.0,
51,Bleacher Report,Media,40.5,
52,Blueground,Real Estate,77.0,
53,Blume Global,Logistics,0.0,
54,Bluprint,Education,108.0,
55,BookMyShow,Consumer,224.0,
56,Booking.com,Travel,0.0,
57,Booksy,Consumer,48.0,
58,Borrowell,Finance,72.0,
59,Bossa Nova,Retail,203.2,0.0
60,Bounce,Transportation,428.2,0.14142135623730148
61,BounceX,Marketing,75.0,
62,Branch,Retail,2.0,
63,Branch Metrics,Marketing,367.0,
64,Breather,Real Estate,131.0,
65,Brex,Finance,732.0,
66,Bridge Connector,Healthcare,45.0,
67,Bringg,Logistics,84.0,
68,Builder,Product,29.0,
69,Built In,Recruiting,29.0,
70,Bullhorn,Sales,32.0,
71,BusBud,Transportation,21.0,
72,Bustle Digital Group,Media,160.0,0.0
73,Button,Marketing,64.0,
74,Buy.com / Rakuten,Retail,42.4,
75,Byton,Transportation,1200.0,
76,C6 Bank,Finance,0.0,
77,CTO.ai,Infrastructure,7.0,
78,Cabin,Travel,3.0,
79,Cadre,Real Estate,133.0,
80,Caliva,Retail,75.0,
81,Capillary,Retail,102.0,
82,CarDekho,Transportation,247.0,
83,CarGurus,Transportation,1.0,
84,Care.com,Consumer,156.0,
85,Careem,Transportation,771.0,
86,Carta,Finance,447.0,
87,Casper,Retail,339.0,
88,Castlight Health,Healthcare,184.0,
89,Catalant,Other,110.0,
90,Checkmarx,Security,92.0,
91,Checkr,HR,309.0,
92,Cheddar,Media,54.0,
93,Cheetah,Food,67.0,
94,Chef,Infrastructure,105.0,
95,CipherTrace,Crypto,18.0,
96,Circ,Transportation,55.0,
97,Claravine,Marketing,4.0,
98,ClassPass,Fitness,549.0,
99,Clearbanc,Finance,119.0,
100,Clearbit,Data,17.0,
101,Clever Real Estate,Real Estate,5.0,
102,CleverTap,Marketing,76.0,
103,Clinc,Support,59.0,
104,Cloudera,Infrastructure,1000.0,
105,Clutter,Consumer,296.0,
106,Code42,Data,137.5,
107,CodeCombat,Education,8.0,
108,Coding Dojo,Education,2.0,
109,Cogito,Support,92.0,
110,Cohesity,Data,660.0,
111,Compass,Real Estate,1600.0,
112,Conga,Data,117.0,
113,Connected,Product,0.0,
114,ConsenSys,Crypto,10.0,
115,Consider.co,Other,5.0,
116,ContaAzul,Education,37.0,
117,Convene,Real Estate,280.0,
118,Convoy,Logistics,665.0,
119,Copper,Marketing,102.0,
120,Crayon,Marketing,16.0,
121,Credit Sesame,Finance,120.0,
122,Creditas,Finance,314.0,
123,CrowdRiff,Marketing,11.0,
124,CrowdStreet,Real Estate,24.0,
125,Cruise,Transportation,5300.0,
126,Culture Amp,HR,157.0,
127,Culture Trip,Media,102.0,
128,CureFit,Fitness,404.0,
129,Curefit,Fitness,404.6,
130,Currency,Finance,0.0,
131,Cuyana,Retail,31.0,
132,Cvent,Marketing,146.0,
133,D2iQ,Infrastructure,247.0,
134,DISCO,Legal,133.0,
135,DJI,Consumer,105.0,
136,DSCO,Retail,4.0,
137,Dark,Product,3.0,
138,DataRobot,Data,430.0,
139,DataStax,Data,190.0,
140,Datera,Infrastructure,63.0,
141,Datto,Infrastructure,100.0,
142,Deliv,Retail,80.0,
143,Deliveroo,Food,1500.0,
144,Deputy,HR,106.0,
145,Descartes Labs,Data,58.0,
146,Desktop Metal,Other,436.0,
147,DialSource,Marketing,26.0,
148,Dispatch,Other,18.0,
149,Divergent 3D,Transportation,88.0,
150,Divvy,Finance,252.0,
151,Divvy Homes,Real Estate,180.0,
152,Docly,Healthcare,15.5,
153,Domio,Real Estate,116.0,
154,Domio,Travel,116.0,
155,Domo,Data,689.0,
156,Dotscience,Product,0.0,
157,Drip,Marketing,0.0,
158,Dude Solutions,Other,100.0,
159,Dynamic Signal,HR,114.0,
160,Earnin,Finance,190.0,
161,EasyPost,Logistics,24.0,0.0
162,Eatsy,Food,0.9755,
163,Ebanx,Finance,30.0,
164,Ecobee,Energy,149.0,
165,Eden / Managed By Q,Real Estate,40.0,
166,Eight Sleep,Retail,70.0,
167,Ejento,Recruiting,0.0,
168,Element AI,Other,257.0,
169,Element Analytics,Data,22.0,
170,Elliptic,Crypto,40.0,
171,Engine eCommerce,Retail,4.0,
172,Envoy,HR,59.0,
173,Ethos Life,Finance,106.0,
174,Eventbrite,Consumer,332.0,
175,Everlane,Retail,18.0,
176,ExtraHop,Security,61.0,
177,FabHotels,Travel,48.0,
178,Fandom,Media,145.0,
179,Fareportal,Travel,0.0,
180,FiscalNote,Media,50.0,
181,Flatiron School,Education,15.0,
182,FloQast,Finance,119.0,
183,Flowr,Retail,0.0,
184,Flymya,Travel,0.0,
185,Flynote,Travel,1.0,
186,Flytedesk,Marketing,4.0,
187,Flywheel Sports,Fitness,120.0,
188,Flywire,Finance,263.0,
189,Food52,Food,96.0,
190,Foodsby,Food,20.0,
191,Forward,Healthcare,100.0,
192,Freshbooks,Finance,75.0,
193,Frontdesk,Travel,3.0,
194,FullStory,Marketing,59.0,
195,Fundbox,Finance,453.0,
196,Funding Circle,Finance,746.0,
197,Funding Societies,Finance,42.0,
198,G/O Media Group,Media,0.0,
199,G2,Marketing,100.8,
200,GOAT Group,Retail,197.0,
201,Geekwire,Media,0.0,
202,GetNinjas,Consumer,16.0,
203,GetYourGuide,Travel,656.0,
204,Getaround,Transportation,403.0,
205,Glassdoor,Recruiting,204.0,
206,Glitch,Product,30.0,
207,Glossier,Retail,186.4,
208,GoBear,Finance,97.0,
209,GoCardless,Finance,122.0,
210,GoDaddy,Marketing,0.0,
211,GoPro,Consumer,288.0,
212,GoSpotCheck,Retail,47.0,
213,Gojek,Transportation,4800.0,
214,Grab,Transportation,9900.0,
215,Grailed,Retail,16.0,
216,GrayMeta,Data,7.0,
217,Greenhouse,Recruiting,110.0,
218,Group Nine Media,Media,190.0,
219,Groupon,Retail,1400.0,
220,GumGum,Marketing,58.0,
221,Gympass,Fitness,300.0,
222,HOOQ,Consumer,95.0,
223,Handshake,Recruiting,74.0,
224,Havenly,Consumer,57.8,
225,Help.com,Support,6.0,
226,Her Campus Media,Media,0.0,
227,Hibob,HR,45.0,
228,Highsnobiety,Media,8.5,
229,Hipcamp,Travel,40.5,
230,Hired,Recruiting,132.0,
231,Hireology,Recruiting,52.0,
232,HopSkipDrive,Transportation,90.0,0.0
233,Hopper,Travel,183.0,
234,Horizn Studios,Travel,30.0,
235,Houzz,Consumer,613.0,
236,HubHaus,Real Estate,13.4,
237,HumanForest,Transportation,1.54,
238,Humu,HR,40.0,
239,Ibotta,Retail,85.0,
240,Iflix,Consumer,348.0,
241,Igenous,Data,67.0,
242,Ike,Transportation,52.0,
243,InVision,Product,350.2,
244,Incredible Health,Healthcare,15.0,
245,Industrious,Real Estate,222.0,
246,Influitive,Marketing,59.0,
247,Inspirato,Travel,79.0,
248,Instamojo,Finance,8.0,
249,Instructure,Education,89.0,
250,Intapp,Legal,0.0,
251,Integral Ad Science,Marketing,116.0,
252,Integrate.ai,Support,39.6,
253,Intercom,Support,240.0,
254,Intersect,Product,0.0,
255,Intuit,Finance,18.0,
256,Iris Nova,Food,15.0,
257,Jama,Product,233.0,
258,JetClosing,Real Estate,24.0,
259,Jetty,Finance,40.0,
260,Jiobit,Consumer,12.0,
261,Jobcase,Recruiting,118.0,
262,Jump,Transportation,11.0,
263,Juul,Consumer,1500.0,
264,Kapten / Free Now,Transportation,100.0,
265,Katerra,Construction,2500.0,70.71067811865476
266,Kayak / OpenTable,Travel,229.0,
267,Kazoo,HR,8.0,
268,KeepTruckin,Logistics,227.0,
269,Kenoby,Recruiting,23.0,
270,Kickstarter,Finance,10.0,
271,Kitopi,Food,89.0,
272,Kitty Hawk,Aerospace,1.0,
273,Klook,Travel,521.0,
274,Knotel,Real Estate,1120.0,0.0
275,Kodiak Robotics,Transportation,40.0,
276,Komodo Health,Healthcare,50.0,
277,Kongregate,Media,19.0,
278,Kueski,Finance,38.0,
279,Labster,Education,34.0,
280,Ladder Life,Finance,94.0,
281,Lambda School,Education,48.0,
282,Lastline,Security,52.0,
283,Latch,Security,152.0,
284,Lattice,HR,49.0,
285,Le Tote,Retail,62.0,
286,Leafly,Retail,2.0,
287,League,Healthcare,76.0,
288,Lending Club,Finance,392.0,
289,Lendingkart,Finance,200.0,
290,Levelset,Construction,46.0,
291,Lever,Recruiting,72.0,
292,Lighter Capital,Finance,30.0,0.0
293,Lighthouse Labs,Education,0.0,
294,Lime,Transportation,765.0,
295,LinkedIn,Recruiting,154.0,
296,LivePerson,Support,42.0,
297,LiveTiles,Other,46.0,
298,Livspace,Retail,157.0,
299,Loft,Real Estate,526.0,0.0
300,Loftium,Real Estate,17.0,
301,Loftsmart,Real Estate,18.0,
302,Lola,Travel,81.0,
303,LoopMe,Marketing,32.0,
304,Loopio,Sales,11.0,
305,LumenAd,Marketing,0.0,
306,Lumina Networks,Infrastructure,10.0,
307,Lyft,Transportation,4900.0,
308,Lyric,Real Estate,179.1,
309,Lytics,Marketing,58.0,
310,Magic Leap,Consumer,2600.0,
311,Magicbricks,Real Estate,300.0,
312,Make School,Education,0.0,
313,MakeMyTrip,Travel,1096.0,0.0
314,MakerBot,Consumer,10.0,
315,Mapbox,Data,227.0,
316,Mapify,Travel,1.3,
317,Masse,Retail,3.0,
318,Matterport,Data,114.0,
319,Maven,Media,77.0,
320,MaxMilhas,Travel,0.0,
321,MediaMath,Marketing,607.0,
322,Meesho,Retail,215.0,
323,Mejuri,Retail,28.0,
324,Meow Wolf,Media,185.0,
325,Mercos,Sales,2.0,
326,Metromile,Finance,293.0,
327,Mews,Travel,41.0,
328,Migo,Finance,37.0,
329,MindBody,Fitness,114.0,
330,Minted,Retail,297.0,
331,Mixpanel,Data,77.0,
332,Mode Analytics,Data,46.0,
333,Modsy,Retail,70.0,
334,Mogo,Finance,201.0,
335,Monese,Finance,80.0,
336,Monzo,Finance,648.0,0.0
337,Moovel,Transportation,0.0,
338,Motif Investing,Finance,126.0,
339,Movidesk,Support,1.0,
340,Mozilla,Consumer,2.3,
341,N26,Finance,782.0,
342,NS8,Data,157.9,
343,Namely,HR,217.0,
344,Nativo,Marketing,35.0,
345,Nav,Finance,99.0,
346,Navi,Finance,582.0,
347,Nearmap,Construction,15.0,
348,Neon,Finance,120.0,
349,New Relic,Infrastructure,214.5,
350,Newfront Insurance,Finance,0.0,
351,Numbrs,Finance,78.0,
352,NuoDB,Data,85.0,
353,O'Reilly Media,Media,0.0,
354,OLX India,Marketing,28.0,
355,OPay,Finance,170.0,
356,OYO,Travel,11200.0,461.8802153517007
357,Oh My Green,Food,20.0,
358,Ola,Transportation,3800.0,
359,Omie,Finance,26.0,
360,OnDeck,Finance,1200.0,
361,OneTrust,Legal,410.0,
362,OneWeb,Aerospace,3000.0,
363,Opal,Marketing,25.0,
364,OpenX,Marketing,70.0,
365,Opencare,Healthcare,24.0,
366,Opendoor,Real Estate,1500.0,
367,Optimizely,Marketing,251.2,
368,Oriente,Finance,175.0,
369,Oscar Health,Healthcare,1300.0,
370,Ouster,Transportation,132.0,
371,OutboundEngine,Marketing,48.0,
372,Outdoorsy,Transportation,75.0,
373,Overtime,Media,35.0,
374,PaisaBazaar,Finance,496.0,
375,Pana,Travel,11.0,
376,Panda Squad,Consumer,1.0,
377,Pared,Food,13.0,
378,Parsable,HR,72.0,
379,Passport,Transportation,123.0,
380,PatientPop,Healthcare,75.0,
381,Patreon,Media,165.0,
382,PayJoy,Finance,71.0,
383,PaySense,Finance,25.6,
384,Payfactors,HR,0.0,
385,Paytm,Finance,2200.0,
386,Pebblepost,Marketing,81.0,
387,Peek,Travel,39.0,
388,PeerStreet,Finance,110.0,
389,Peerfit,HR,47.0,
390,Peerspace,Real Estate,34.0,
391,People.ai,Marketing,100.0,
392,PeopleGrove,HR,7.0,
393,PerkSpot,HR,50.0,
394,Perkbox,HR,29.7,
395,Petal,Finance,47.0,
396,PickYourTrail,Travel,3.0,
397,PicoBrew,Food,15.0,
398,Pipedrive,Sales,90.0,
399,Pivot3,Infrastructure,273.0,
400,Polarr,Consumer,13.0,
401,Politico / Protocol,Media,0.0,
402,Pollen,Travel,88.0,
403,Popin,Fitness,13.0,
404,PowerReviews,Retail,78.0,
405,Procore,Construction,649.0,
406,Pulse Secure,Security,0.0,
407,Puppet,Infrastructure,149.0,
408,Purse,Crypto,1.0,
409,Quantcast,Marketing,65.0,
410,Quartz,Media,0.0,
411,Quibi,Media,1800.0,
412,QuintoAndar,Real Estate,335.0,
413,Qwick,Recruiting,4.0,
414,RainFocus,Marketing,41.0,
415,Raken,Construction,12.0,
416,Rangle,Product,0.0,
417,RealSelf,Healthcare,42.0,
418,RedDoorz,Travel,268.0,0.0
419,Redfin,Real Estate,319.0,
420,Redox,Healthcare,50.0,
421,Remedy,Healthcare,12.5,
422,Remote Year,Travel,17.0,
423,Renmoney,Finance,0.0,
424,Rent the Runway,Retail,541.0,
425,Restaurant365,Food,127.0,
426,Revolut,Finance,837.0,
427,Rhumbix,Construction,35.0,
428,Ridecell,Transportation,73.0,
429,RigUp,Energy,423.0,
430,Ritual,Food,112.0,
431,Rivian,Transportation,3100.0,
432,Rock Content,Marketing,0.7,
433,Rover,Consumer,310.0,
434,Rubica,Security,14.0,
435,Rubicon Project,Marketing,60.0,
436,Rubrik,Infrastructure,553.0,
437,Sage Therapeutics,Healthcare,438.0,
438,SalesLoft,Sales,145.0,
439,Salesforce,Sales,65.4,
440,Salsify,Retail,97.0,
441,Samsara,Logistics,530.0,
442,Sandbox VR,Consumer,82.0,
443,Sauce Labs,Infrastructure,151.0,
444,ScaleFactor,Finance,103.0,
445,ScaleFocus,Infrastructure,0.0,
446,Scoop,Transportation,190.0,0.0
447,Segment,Data,283.0,
448,Sensibill,Finance,50.0,
449,Service,Travel,10.1,0.0707106781186545
450,ShareChat,Marketing,222.0,
451,Sharethrough,Marketing,38.0,
452,Shipsi,Retail,2.0,
453,Shop101,Retail,19.0,
454,Shopify,Retail,122.3,
455,Showpad,Marketing,159.0,
456,Shuttl,Transportation,122.0,
457,Sift,Security,106.0,
458,Simon Data,Marketing,68.0,
459,Singular,Marketing,50.0,
460,Sisense,Data,274.0,
461,Siteimprove,Marketing,55.0,
462,Skillz,Consumer,132.0,
463,SkySlope,Real Estate,0.0,
464,Skyscanner,Travel,197.2,
465,Slice Labs,Finance,35.0,
466,Snap Finance,Finance,0.0,
467,Snaptravel,Travel,22.4,
468,SoFi,Finance,2500.0,
469,Sojern,Marketing,162.0,
470,Sonder,Travel,359.0,
471,Sonos,Consumer,455.2,
472,Sorabel,Retail,27.0,
473,Spaces,Media,9.5,
474,Splunk,Data,40.0,
475,SpotHero,Transportation,234.0,0.0
476,Sprinklr,Support,228.0,
477,Spyce,Food,26.0,
478,SquadVoice,Real Estate,2.0,
479,Stack Overflow,Recruiting,68.0,
480,Starship Technologies,Transportation,82.0,
481,Stay Alfred,Travel,62.0,
482,Stitch Fix,Retail,79.0,
483,StockX,Retail,160.0,
484,Stockwell AI,Retail,10.0,
485,Stone,Finance,0.0,
486,Stoqo,Food,0.0,
487,StreamSets,Data,76.2,
488,StubHub,Consumer,19.0,
489,Submittable,Other,17.0,
490,Superloop,Infrastructure,36.0,
491,SweetEscape,Consumer,7.0,
492,Sweetgreen,Food,478.0,
493,Swiggy,Food,4800.0,0.0
494,Swing Education,Education,22.8,
495,SynapseFI,Finance,50.0,
496,Synergysuite,Food,6.0,
497,Takl,Consumer,0.0,
498,Tally,Finance,92.0,
499,Tamara Mellon,Retail,90.0,
500,Teamwork,Other,0.0,
501,TechAdvance,Finance,1.0,
502,Textio,Recruiting,41.0,
503,The Appraisal Lane,Transportation,1.8,
504,The Athletic,Media,139.0,
505,The Guild,Travel,36.0,
506,The Modist,Retail,0.0,
507,The Muse,Recruiting,28.0,
508,The Predictive Index,HR,65.0,
509,The RealReal,Retail,358.0,
510,The Sill,Retail,7.0,
511,The Wing,Real Estate,234.0,0.0
512,TheSkimm,Media,28.0,
513,TheWrap,Media,3.5,
514,ThirdLove,Retail,136.0,0.0
515,ThoughtSpot,Data,743.0,
516,Thriver,Food,53.0,
517,Thumbtack,Consumer,423.0,
518,TicketSwap,Consumer,8.0,
519,Tidepool,Healthcare,0.0,
520,Toast,Food,902.0,
521,Top Hat,Education,104.0,
522,Tor,Security,1.0,
523,TouchBistro,Food,224.0,
524,Transfix,Logistics,128.0,
525,TravelBank,Travel,35.0,
526,TravelTriangle,Travel,47.0,
527,Traveloka,Travel,0.0,
528,Trax,Retail,386.0,
529,TripActions,Travel,981.0,
530,TripAdvisor,Travel,3.0,
531,Tripbam,Travel,0.0,
532,TripleLift,Marketing,16.0,
533,Triplebyte,Recruiting,48.0,
534,Trivago,Travel,55.0,
535,Trove Recommerce,Retail,34.0,
536,TrueCar,Transportation,340.0,
537,Tuft & Needle,Retail,0.0,
538,Tulip Retail,Retail,51.0,
539,Turo,Transportation,467.0,
540,TutorMundi,Education,2.0,
541,UPshow,Marketing,7.0,
542,Uber,Transportation,98800.0,0.0
543,Unbabel,Support,91.0,
544,Unison,Finance,40.0,
545,Universal Standard,Retail,8.0,
546,Usermind,Marketing,46.0,
547,VSCO,Consumer,90.0,
548,Vacasa,Travel,526.0,
549,Validity,Data,0.0,
550,Veem,Finance,69.0,
551,Velodyne Lidar,Transportation,225.0,
552,Veriff,Security,7.0,
553,Vesta,Sales,20.0,
554,VideoAmp,Marketing,106.0,
555,View,Energy,1800.0,
556,Virta Health,Healthcare,175.0,
557,Virtudent,Healthcare,10.0,
558,Voi,Transportation,167.0,
559,Vox Media,Media,307.6,
560,WanderJaunt,Travel,26.0,
561,Waze,Transportation,67.0,
562,WeFit,Fitness,1.0,
563,WeWork,Real Estate,43500.0,9959.292143521045
564,WeWork ,Real Estate,19500.0,
565,Welkin Health,Healthcare,29.0,
566,When I Work,HR,24.0,
567,WhyHotel,Travel,33.0,
568,Wonder,Other,0.0,
569,Wonderschool,Education,24.0,
570,Wonolo,Recruiting,52.0,
571,Wordstream,Marketing,28.0,
572,Workable,Recruiting,84.0,
573,Workfront,Marketing,375.0,
574,Worksmith,Retail,3.8,
575,Xerpa,HR,5.0,
576,Yelp,Consumer,112.0,0.0
577,Yoco,Finance,23.0,
578,Yonder,Media,16.0,
579,Zeitgold,Finance,60.18,
580,Zenefits,HR,583.0,
581,Zenoti,Fitness,91.0,
582,Zerto,Infrastructure,130.0,
583,Zest AI,Finance,217.0,
584,Zeus Living,Real Estate,158.0,0.0
585,Zilingo,Retail,614.0,0.0
586,Zinier,HR,120.0,
587,ZipRecruiter,Recruiting,219.0,
588,Zipcar,Transportation,107.0,
589,Zola,Retail,140.0,
590,Zomato,Food,1828.0,0.0
591,Zoox,Transportation,1910.0,0.0
592,Zum,Transportation,71.0,
593,Zume,Food,423.0,
594,Zwift,Fitness,164.0,
595,Zymergen ,Other,574.0,
596,eGym,Fitness,109.0,
597,ezCater,Food,319.0,
598,kununu,Recruiting,0.0,
599,tZero,Finance,472.0,
600,uShip,Logistics,69.0,
