,Industry,mean,std
0,Aerospace,150.5,211.4249275747777
1,Construction,102.5,150.08997301618786
2,Consumer,1926.9056603773586,4878.921599257168
3,Crypto,239.52542372881356,392.155289259515
4,Data,388.19354838709677,858.3487022321731
5,Education,344.7450980392157,858.8305034903512
6,Energy,240.0,287.41665458587005
7,Finance,497.04895104895104,1218.9522014492225
8,Fitness,716.6666666666666,1579.7448202066362
9,Food,827.1714285714286,1980.0675363348607
10,HR,83.95454545454545,122.1519261968188
11,Hardware,349.2857142857143,436.8694367450128
12,Healthcare,375.4807692307692,475.429187416955
13,Infrastructure,173.61111111111111,260.2306983041572
14,Legal,141.0,161.94196491336024
15,Logistics,337.7894736842105,498.7379159156939
16,Marketing,194.96666666666667,281.33109552755536
17,Media,14331.485714285714,82355.22800554546
18,Other,304.0882352941176,507.9613551905189
19,Product,267.47058823529414,326.21103553663283
20,Real Estate,498.5769230769231,723.7821778861655
21,Recruiting,45.0,58.69412236331675
22,Retail,558.2045454545455,1207.026565612391
23,Sales,174.8421052631579,174.60726189489586
24,Security,369.71794871794873,498.04353797835523
25,Support,213.52941176470588,185.84473279025786
26,Transportation,2224.425925925926,4862.318325080074
27,Travel,830.375,1388.072346560407
