,company,industry,sum,std
0,Aura Financial,Finance,584.0,
1,Better.com,Real Estate,905.0,
2,BitTitan,Data,46.0,
3,Bounce,Transportation,214.2,
4,Bytedance,Consumer,16800.0,1414.213562373095
5,Casper,Retail,339.0,
6,Clumio,Data,186.0,
7,DJI,Consumer,105.0,
8,Delivery Hero,Food,8300.0,
9,Dropbox,Other,1700.0,
10,Flockjay,Education,14.0,
11,Genius,Consumer,78.0,
12,Hubba,Retail,61.0,
13,HuffPo,Media,37.0,
14,Imperfect Foods,Food,229.0,
15,InVision,Product,356.0,
16,Indigo,Other,1200.0,
17,Instacart,Food,2400.0,
18,Katerra,Construction,1600.0,
19,Lambda School,Education,122.0,
20,Limelight,Recruiting,0.0,
21,Madefire,Media,16.0,
22,Medium,Media,132.0,
23,New Relic,Infrastructure,214.5,
24,Ninjacart,Food,194.0,
25,Ozy Media,Media,70.0,
26,Pagarbook,HR,17.0,
27,Patreon,Media,165.0,
28,Pocketmath,Marketing,20.0,
29,Postmates,Food,763.0,
30,Privitar,Data,150.0,
31,Quandoo,Food,39.0,
32,Shutterfly,Retail,50.0,
33,Simple,Finance,15.0,
34,Subspace,Infrastructure,0.0,
35,SumUp,Finance,53.0,
36,Tanium,Security,1000.0,
37,ThredUp,Retail,305.0,
38,Treehouse,Education,12.0,
39,WhiteHat Jr,Education,11.0,
40,Zillow,Real Estate,97.0,
41,Zymergen,Other,974.0,
42,iFit,Fitness,200.0,
